match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,1,1,DA Warner,S Dhawan,TS Mills,0,0,0,0,0,0,0,3,2,,,
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,1,2,DA Warner,S Dhawan,TS Mills,0,0,0,0,0,0,0,2,5,,,
2,1,Mumbai Indians,Rising Pune Supergiant,1,1,PA Patel,JC Buttler,AB Dinda,0,1,0,0,0,0,0,1,6,,,
2,1,Mumbai Indians,Rising Pune Supergiant,1,2,PA Patel,JC Buttler,AB Dinda,0,0,0,0,0,0,0,2,4,,,
3,1,Gujarat Lions,Kolkata Knight Riders,1,1,JJ Roy,BB McCullum,TA Boult,0,0,0,0,0,0,0,2,0,,,
3,1,Gujarat Lions,Kolkata Knight Riders,1,2,JJ Roy,BB McCullum,TA Boult,0,0,0,0,0,0,4,1,4,,,
577,1,Mumbai Indians,Rising Pune Supergiants,4,4,HH Pandya,LMP Simmons,I Sharma,0,0,0,1,0,0,0,1,1,,,
577,1,Mumbai Indians,Rising Pune Supergiants,4,5,LMP Simmons,HH Pandya,I Sharma,0,0,0,0,0,0,0,4,5,LMP Simmons,bowled,
577,1,Mumbai Indians,Rising Pune Supergiants,4,6,JC Buttler,HH Pandya,I Sharma,0,0,0,0,0,0,0,3,6,,,
578,1,Delhi Daredevils,Kolkata Knight Riders,6,4,P Negi,SV Samson,JW Hastings,0,0,0,0,0,0,0,1,1,,,
578,1,Delhi Daredevils,Kolkata Knight Riders,6,5,P Negi,SV Samson,JW Hastings,0,0,0,0,0,0,0,2,2,,,
578,1,Delhi Daredevils,Kolkata Knight Riders,6,6,P Negi,SV Samson,JW Hastings,0,0,0,0,0,0,0,0,5,,,
579,1,Kings XI Punjab,Gujarat Lions,5,2,M Vohra,M Vijay,JP Faulkner,0,0,0,0,0,0,2,3,2,,,
579,1,Kings XI Punjab,Gujarat Lions,5,3,M Vohra,M Vijay,JP Faulkner,0,0,0,0,0,0,0,5,3,,,
579,1,Kings XI Punjab,Gujarat Lions,5,4,M Vohra,M Vijay,JP Faulkner,0,0,0,0,0,0,0,1,3,,,
580,1,Royal Challengers Bangalore,Sunrisers Hyderabad,1,1,CH Gayle,V Kohli,A Nehra,0,0,0,0,0,0,2,3,2,,,
580,1,Royal Challengers Bangalore,Sunrisers Hyderabad,1,2,CH Gayle,V Kohli,A Nehra,0,0,0,0,0,0,1,2,1,,,
580,1,Royal Challengers Bangalore,Sunrisers Hyderabad,1,3,V Kohli,CH Gayle,A Nehra,0,0,0,0,0,0,5,5,3,,,
